bssid	lat	lon
00264D2CCCCE	40.48635915875	-3.727017985625
00264D2CBC94	40.413435125026	-3.6973892165771
00264D2CA52A	40.411365310686	-3.6957158573522
000C422B9E2F	40.479932287696	-3.7123795592982
000C422B9E3B	40.415552894111	-3.7031891117361
000C422B9E65	40.410647641004	-3.6956141000173
001FF3092DED	40.473640681333	-3.7150733266667
001349E5DF9F	40.413899574069	-3.7000085782898
001A2B8ABB32	40.486246423333	-3.7247073544444
001BB10347E3	40.419462025706	-3.6938390567773
001BB103CC88	40.481358033623	-3.7204623573913
C2CE46D44285	40.407623033689	-3.6763022287421
C8D71988DD01	40.472886719167	-3.6729415983333
6416F0E2415B	40.483415	-3.6803413783333
8C0CA32B7CB8	40.512600220589	-3.6664238324168
001BB1007510	40.487671376111	-3.6649653467094
C03F0EFE4AE9	40.451961418667	-3.6628558313333
001A2B976004	40.472719492222	-3.6728572377778
001A2B8EAB0A	40.47246283	-3.67269132
8C0CA32B19CD	40.484728466167	-3.671163161
74888B9033F9	40.48376299	-3.6796966133333
D4A02A480742	40.531620977778	-3.6403642888889
0027222ACC5B	40.509141640667	-3.6571742586667
64680C2C5ED4	40.451444247333	-3.6627464103333
D4A02A11D820	40.531620977778	-3.6403642888889
001A2B9474BA	40.48410762393	-3.6699870135202
001BB10075C5	40.481410985	-3.7079674688889
0021E82C35C1	40.419726655836	-3.6932704673479
001BB103CD65	40.414811537448	-3.7036493423633
000B6BDF00E1	40.414750009329	-3.7036260184333
000B6BDF0089	40.481341499411	-3.7182421381335
001A2B86FCE4	40.484182841333	-3.6719107026667
001BB10560C6	40.420222484158	-3.692967214251
8C0CA3274ED2	40.484092211333	-3.6745507126667
001BB10349A1	40.488431731667	-3.7202471708333
001BB10075DD	40.482324228395	-3.6850311049383
001A2B942705	40.410560796144	-3.6951378009356
FCF528819061	40.474576029669	-3.5812284901306
C86C875942C4	40.472841901405	-3.5783939084076
C8D15E625AC8	40.474063308255	-3.5805055232441
DC0B1A8B1EA6	40.474064531153	-3.5806306828828
507E5D2F23EE	40.474463348572	-3.5810466000436
1CC63CBDB353	40.472924705807	-3.578319888666
F88E85063EBD	40.474666614184	-3.5812155102764
8C0CA329C0D5	40.473306764227	-3.5778907193739
5C338ED1DFD2	40.4730799335	-3.5787388082857
0019707FC7BE	40.472886373696	-3.5783852905596
5C338EE3514D	40.473039858858	-3.5786825919338
64680C50C33B	40.47566797622	-3.582360963342
E0915345C3C0	40.475375608024	-3.5820414671864
64680C840458	40.4733984964	-3.5794184062138
001EE5924B20	40.474407657432	-3.5810571931252
C0AC5402FE0F	40.475821728682	-3.5825491431371
64680C82CF70	40.472917125929	-3.5783098687351
00065A803DEC	40.494860665097	-3.5918802629384
0013498827E9	40.473306764227	-3.5778907193739
BC7670C6FC0C	40.472746161291	-3.5784754275702
001915CEA8E1	40.473601478382	-3.5797072188498
3872C0ACEA57	40.475322789369	-3.5817902847042
4CEDDEF27B55	40.472922886822	-3.5784368627543
C86C87772B9C	40.472809599715	-3.5784381153173
001915C80684	40.474367237405	-3.5810063300878
743170C12F48	40.472904826279	-3.5784410310843
0019706D4297	40.472932874626	-3.5783178259642
00264D0C630A	40.47351381704	-3.5795861138257
0002CF66AEFA	40.472946500899	-3.5782332367791
8C0CA326951C	40.47580629469	-3.5825364878707
3872C0FA8C39	40.473494124605	-3.5795647231531
64680C426FF4	40.473107014482	-3.5783867046219
001BB104C72F	40.473055425757	-3.5780915071493
202BC1375243	40.472892078934	-3.5786782750349
001A2B6820E2	40.473675332996	-3.5798319941629
E0915317E628	40.473090911381	-3.5787942580922
00065A4076CA	40.494861096487	-3.5918936149618
849CA68D5574	40.473134102056	-3.5788663065258
001638EA6F66	40.474565694051	-3.5811902826662
B4749F14A525	40.474373727357	-3.5810248622769
6AA8E4C7F6E8	40.475049249788	-3.5815957156654
64700278B714	40.474836033459	-3.5813774018629
0013F7EB47C8	40.473514418656	-3.5795725176804
5C338ECCFE47	40.473063639904	-3.5781140724028
849CA65EAEA7	40.473176214194	-3.578904068934
0002CF7FA0EB	40.472920510317	-3.5783707092606
0222B09BF554	40.473348868812	-3.5793461049255
1CC63CA10417	40.475218526844	-3.5816264685942
88252CCC57A1	40.472971779919	-3.5781563629227
3872C09F98DF	40.473388706154	-3.579383428422
08863BCBFD5E	40.473541599464	-3.5796245156026
6416F0D6E8C9	40.475540338348	-3.5823650939093
001A2B8ABF26	40.475720202205	-3.5825294335467
64680C50B3A0	40.474958336163	-3.5813842079064
205476981E37	40.46871093014	-3.5692266486246
3872C0AF0576	40.473060550804	-3.578072571256
1CC63CC79BDD	40.474192030994	-3.5808571779109
7431707BEBD5	40.472917125929	-3.5783098687351
3872C0CC6BE0	40.475442687005	-3.582266526155
C86C874FC9DE	40.472727777825	-3.57879050154
001A2B681201	40.472811683325	-3.5784226298528
001A2B8DD82D	40.473659579861	-3.5797952649475
6416F0E444DD	40.472909909711	-3.5783020681861
